,start_hour,origin_nta,destination_nta,travel_counts,duration_minutes,arrival_rate
191,5,MN33,Others,48,29.854166666666668,0.033
192,5,MN34,MN01,5,11.0,0.091
193,5,MN34,MN17,14,16.928571428571427,0.059
194,5,MN34,MN31,8,18.5,0.054
195,5,MN34,MN34,5,10.2,0.098
196,5,MN34,MN40,5,11.0,0.091
197,5,MN34,Others,44,20.15909090909091,0.05
198,5,MN35,MN13,5,20.4,0.049
199,5,MN35,MN17,7,21.142857142857142,0.047
200,5,MN35,MN35,7,7.0,0.143
201,5,MN35,MN36,6,8.166666666666666,0.122
202,5,MN35,Others,77,24.103896103896105,0.041
203,5,MN36,MN17,9,20.88888888888889,0.048
204,5,MN36,MN19,9,13.777777777777779,0.073
205,5,MN36,MN24,5,21.8,0.046
206,5,MN36,MN31,5,16.6,0.06
207,5,MN36,MN35,10,6.8,0.147
208,5,MN36,MN36,11,6.181818181818182,0.162
209,5,MN36,Others,74,23.58108108108108,0.042
210,5,MN40,MN17,10,6.9,0.145
211,5,MN40,MN20,7,11.285714285714286,0.089
212,5,MN40,MN32,7,7.0,0.143
213,5,MN40,Others,54,32.03703703703704,0.031
214,5,MN50,Others,16,46.875,0.021
215,5,MN99,Others,5,29.4,0.034
216,5,Others,MN01,114,27.842105263157894,0.036
217,5,Others,MN03,180,31.961111111111112,0.031
218,5,Others,MN04,66,34.25757575757576,0.029
219,5,Others,MN06,149,34.375838926174495,0.029
220,5,Others,MN09,454,35.33259911894273,0.028
221,5,Others,MN11,113,36.35398230088496,0.028
222,5,Others,MN12,175,40.10285714285714,0.025
223,5,Others,MN13,561,41.515151515151516,0.024
224,5,Others,MN14,187,34.09090909090909,0.029
225,5,Others,MN15,97,40.51546391752577,0.025
226,5,Others,MN17,1718,42.27299185098952,0.024
227,5,Others,MN19,446,45.02914798206278,0.022
228,5,Others,MN20,426,39.95774647887324,0.025
229,5,Others,MN21,203,43.758620689655174,0.023
230,5,Others,MN22,51,42.78431372549019,0.023
231,5,Others,MN23,398,43.16834170854271,0.023
232,5,Others,MN24,674,44.710682492581604,0.022
233,5,Others,MN25,785,42.802547770700635,0.023
234,5,Others,MN27,131,35.79389312977099,0.028
